,type,reason,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity
0,Long,EMA Cross Exit,2017-01-02 10:30:00+00:00,2017-01-02 15:00:00+00:00,1.4614189912306483e+17,1.4389001246998528e+17,6.842664602010602e-15,-15.408905088767579,0.3969182189822465,-15.805823307749826,9984.19417669225
1,Long,EMA Cross Exit,2017-01-10 09:45:00+00:00,2017-01-11 14:15:00+00:00,1.472677990301696e+17,1.4569151167243222e+17,6.779617976531901e-15,-10.686626106696286,0.39723044184635076,-11.083856548542636,9973.110320143707
2,Long,Stop Loss,2017-01-13 09:45:00+00:00,2017-01-13 14:16:00+00:00,1.5447344848447734e+17,1.488439489489535e+17,6.456197112182603e-15,-36.34515864428232,0.39165538107689185,-36.736814025359216,9936.373506118349
3,Long,Take Profit,2017-01-30 10:30:00+00:00,2017-01-31 12:00:00+00:00,9.029720437958902e+16,1.1011301525684224e+17,1.1004076565148222e-14,218.05470009379133,0.44106588026349225,217.61363421352783,10153.987140331878
4,Long,Take Profit,2017-02-14 10:30:00+00:00,2017-02-16 10:23:00+00:00,1.0290729708305776e+17,1.2339862041678317e+17,9.867120630072005e-15,202.19035920367782,0.44659755745401075,201.74376164622382,10355.7309019781
5,Long,Stop Loss,2017-03-14 10:30:00+00:00,2017-03-14 14:56:00+00:00,4.521615851221156e+17,4.300938369916993e+17,2.2902721599362147e-15,-50.541149175576805,0.40412100624400876,-50.94527018182082,10304.78563179628
6,Long,Stop Loss,2017-03-24 12:00:00+00:00,2017-03-27 09:16:00+00:00,4.1568226320517696e+17,4.0082043940697536e+17,2.4790053711553078e-15,-36.84254102090554,0.40482291706767015,-37.24736393797321,10267.538267858306
7,Long,Take Profit,2017-03-30 12:00:00+00:00,2017-03-31 09:18:00+00:00,3.792032161661452e+17,4.2694126227622464e+17,2.707661177472624e-15,129.25845414066006,0.4365532215424643,128.8219009191176,10396.360168777424
8,Long,Stop Loss,2017-04-17 15:00:00+00:00,2017-04-18 14:41:00+00:00,7.214765856599835e+17,6.872493384351613e+17,1.4409837235767217e-15,-49.320906153805225,0.40599022552033603,-49.72689637932556,10346.6332723981
9,Long,Stop Loss,2017-04-21 09:45:00+00:00,2017-04-21 13:28:00+00:00,7.926336796913303e+17,7.521012830355587e+17,1.3053486796608638e-15,-52.908910458101936,0.4032835488043036,-53.31219400690624,10293.321078391193
10,Long,Stop Loss,2017-05-10 14:15:00+00:00,2017-05-11 09:44:00+00:00,5.962768458434216e+17,5.742090251011096e+17,1.726265433606012e-15,-38.09491614246686,0.40411385990715437,-38.49903000237401,10254.822048388818
11,Long,Stop Loss,2017-05-16 09:45:00+00:00,2017-05-16 10:17:00+00:00,6.305040930682437e+17,6.052840451002597e+17,1.6264481327132115e-15,-41.0190999244652,0.40198906195065975,-41.42108898641586,10213.400959402403
12,Long,EMA Cross Exit,2017-05-26 12:00:00+00:00,2017-05-31 12:00:00+00:00,5.350276533582824e+17,5.615990011171176e+17,1.908948237590063e-15,50.72332747462112,0.41868070387102035,50.304646770750104,10263.705606173153
13,Long,Stop Loss,2017-06-08 09:15:00+00:00,2017-06-08 09:34:00+00:00,5.489889771331256e+17,5.2827225391565376e+17,1.86956497009671e-15,-38.73126002257462,0.4028019722424112,-39.13406199481703,10224.571544178336
14,Long,Take Profit,2017-06-14 11:15:00+00:00,2017-06-15 09:15:00+00:00,5.588966764133221e+17,6.386107923017236e+17,1.829420709708593e-15,145.83065446235258,0.43814899265960405,145.392505469693,10369.96404964803
