datetime,side,price,shares,pnl
2017-01-02 12:20,BUY,254.9,100,0.0
2017-01-02 12:22,SELL,254.65,100,-25.0
2017-01-02 12:26,BUY,254.65,100,0.0
2017-01-02 12:27,SELL,254.5,100,-15.0
2017-01-02 12:32,BUY,254.65,100,0.0
2017-01-02 12:46,SELL,256.1,100,145.0
2017-01-02 12:50,BUY,256.1,100,0.0
2017-01-02 12:51,SELL,256.1,100,0.0
2017-01-02 12:53,BUY,256.5,100,0.0
2017-01-02 12:56,SELL,256.3,100,-20.0
2017-01-02 12:58,BUY,256.4,100,0.0
2017-01-02 13:00,SELL,256.4,100,0.0
2017-01-02 13:02,BUY,256.6,100,0.0
2017-01-02 13:05,SELL,256.6,100,0.0
2017-01-02 13:12,BUY,256.35,100,0.0
2017-01-02 13:14,SELL,256.2,100,-15.0
2017-01-02 13:17,BUY,256.3,100,0.0
2017-01-02 13:19,SELL,256.2,100,-10.0
2017-01-02 13:23,BUY,256.35,100,0.0
2017-01-02 13:30,SELL,256.5,100,15.0
2017-01-02 13:38,BUY,256.2,100,0.0
2017-01-02 13:40,SELL,256.3,100,10.0
2017-01-02 13:41,BUY,256.4,100,0.0
2017-01-02 13:42,SELL,256.2,100,-20.0
2017-01-02 13:53,BUY,256.1,100,0.0
2017-01-02 14:04,SELL,256.7,100,60.0
2017-01-02 14:05,BUY,256.7,100,0.0
2017-01-02 14:12,SELL,256.8,100,10.0
2017-01-02 14:15,BUY,256.9,100,0.0
2017-01-02 14:18,SELL,256.8,100,-10.0
2017-01-02 14:24,BUY,256.7,100,0.0
2017-01-02 14:26,SELL,256.7,100,0.0
2017-01-02 14:28,BUY,256.8,100,0.0
2017-01-02 14:37,SELL,257.0,100,20.0
2017-01-02 14:40,BUY,257.05,100,0.0
2017-01-02 14:45,SELL,257.1,100,5.0
2017-01-02 14:47,BUY,257.2,100,0.0
2017-01-02 14:56,SELL,257.15,100,-5.0
2017-01-02 15:00,BUY,257.2,100,0.0
2017-01-02 15:02,SELL,257.05,100,-15.0
2017-01-02 15:05,BUY,257.1,100,0.0
2017-01-02 15:06,SELL,257.05,100,-5.0
2017-01-02 15:10,BUY,257.1,100,0.0
